critYr,ptSexCd_M,ptSexCd_F,19-29,30-39,40-49,50-59,60-69,70-
2001,31.8,27.4,17.3,25.6,35.8,37.2,38.3,29.5
2005,34.7,27.3,19.3,29,35.2,42.1,39.6,31.5
2007,36.2,26.3,22,27.8,32.5,42.4,46.2,31.7
2008,35.3,25.2,23,28,34.4,37.4,37.2,29.3
2009,35.8,26,22.1,29.5,34.7,40,37,31.1
2010,36.4,24.8,20.5,31,34.1,35.3,40.7,30.6
2011,35.1,27.1,21.7,31.5,35.4,35.7,38.8,29.7
2012,36.3,28,22.4,32.5,39.2,34,38.5,31.1
2013,37.7,25.1,22.4,33.2,33.7,37.3,36.3,33.8
2014,37.8,23.3,23.9,31.8,31.1,35.4,36.8,32.1
2015,39.7,25.9,23.5,32.9,35.6,38.3,40.1,37.4
2016,42.2,26.4,27.2,34.2,39,36.1,40.2,37.5
2017,41.6,25.6,29.4,33.4,35.3,38,38,34.7
2018,42.8,25.5,26.9,37.8,36.8,35.2,36.8,38
2019,41.8,25,27.6,34.9,35.6,36.5,37.3,34.3
2020,48,27.7,32.6,41.6,39,40.2,41.1,35.3
2021,46.3,26.9,28.6,39.4,42.9,36.8,40.6,33.5
