critYr,ptSexCd,19-29,30-39,40-49,50-59,60-69,70-
2011,F,63.2,65.1,54.6,59,42,19.4
2011,M,38.9,23.7,21,15.9,6.6,1.6
2012,F,55.3,60.5,55.3,57.9,40.2,27.4
2012,M,35.9,28,21.4,17.9,7.1,1.8
2013,F,56.2,59.4,59.3,54.5,41.1,19
2013,M,37.2,26.5,18.5,16.5,6.2,2
2014,F,56.8,60.8,56.2,52.4,39.7,26.4
2014,M,39.5,24.2,21.8,15.3,6.1,2.7
2015,F,58.7,64.1,56.5,51.3,42,22.2
2015,M,37,25.1,23.6,17.3,10,3.4
2016,F,53.5,62.8,58.5,53,42.3,23.9
2016,M,45.7,27.1,23,16.5,7.4,1
2017,F,54.8,57.9,59.1,52.5,43.3,23
2017,M,45.9,26,22.8,16.2,9.6,2
2018,F,46.8,55.9,59.3,51.5,47,23.9
2018,M,49.8,27.1,26,17.9,8.5,1
2019,F,51.6,62,54.1,50.9,49.8,27.1
2019,M,44.1,26.2,22.8,17.9,8,2.1
2020,F,48.7,59.7,58,53.9,43.6,24.4
2020,M,40.4,31.6,22.1,15,8.4,2
2021,F,46.7,52.4,51.1,48.8,42,20.6
2021,M,40.4,28.4,24.4,14.7,5.6,1.5
