critYr,ptSexCd_M,ptSexCd_F,19-29,30-39,40-49,50-59,60-69,70~
2001,60.9,5.2,30.7,32.6,33.6,27.1,25,23.6
2005,51.7,5.7,31.6,33,30.9,27.2,19.6,15.9
2007,45.1,5.3,27.8,32,27,19.3,17,12.8
2008,47.8,7.4,33.9,32.4,27.7,22.5,18.8,16
2009,47,7.1,32.4,32.8,27.5,22.9,18.4,13.2
2010,48.3,6.3,27.8,35,30.5,25.1,16.1,12.6
2011,47.3,6.8,28.3,36.6,25.7,24.5,17.5,14.3
2012,43.7,7.9,28,32.5,27.7,24.6,13.4,10.9
2013,42.2,6.2,24.1,30.7,26.9,22,17.4,8
2014,43.2,5.7,22.5,30,29.2,20.6,18.2,10.1
2015,39.4,5.5,23.7,27.7,25.4,20.8,14.1,9
2016,40.7,6.4,25.4,30.4,25,22.7,14.6,9.1
2017,38.1,6,24.4,25.5,26.3,20.2,14.4,8.5
2018,36.7,7.5,23.8,24.7,26.7,22.8,14.9,6.6
2019,35.7,6.7,24.8,24,22.4,20.3,16.8,8.4
2020,34,6.6,21.9,23,24,19.2,15.5,7.2
2021,31.3,6.9,22.3,18.9,22.4,19.7,15.1,7.2
